"SCHOOL_YEAR","SYSTEM_ID","ORIGINAL_SCHOOL_ID","CHANGE_TYPE","SYSTEM_ID2","NEW_ID","GRADES","CHANGE_DESC"
"2020-2021","676","1050","SCHOOL_SPLIT","676","1050","","Split"
"2019-2020","681","0296","SCHOOL_MERGE","681","0397","","Merge"
"2019-2020","681","0396","SCHOOL_MERGE","681","0397","","Merge"
"2018-2019","691","0114","SCHOOL_ID_CHANGE","691","0288","","ID Change"
"2018-2019","691","0214","SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED","691","0214","PK,4-5","Closure"
"2018-2019","691","0214","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","691","0100","PK","Reconfiguration"
"2018-2019","691","0100","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","691","0289","3","Reconfiguration"
"2019-2020","701","0105","SCHOOL_AUTHORIZATION","7830630","7830630","","Charter Authorization"
"2019-2020","706","0112","SCHOOL_MERGE","706","5062","","Merge"
"2018-2019","712","0203","SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED","712","0203","PK-5","Closure"
"2018-2019","712","0189","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0203","6","Reconfiguration"
"2018-2019","712","0403","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0203","6","Reconfiguration"
"2018-2019","712","0203","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0203","5","Reconfiguration"
"2018-2019","712","0203","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0103","PK,1,2,3,4","Reconfiguration"
"2018-2019","712","0103","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0203","5","Reconfiguration"
"2018-2019","712","0106","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0203","5","Reconfiguration"
"2018-2019","712","0303","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0203","5","Reconfiguration"
"2018-2019","712","0203","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0106","PK,1,2,3,4","Reconfiguration"
"2018-2019","712","0203","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0303","PK,1,2,3,4","Reconfiguration"
"2018-2019","712","0189","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0189","7,8","Reconfiguration"
"2018-2019","712","0403","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","712","0189","7,8","Reconfiguration"
"2019-2020","721","0184","SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED","721","0184","PK-5","Closure"
"2019-2020","721","0184","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","0390","6,7,8","Reconfiguration"
"2019-2020","721","1062","SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED","721","1062","PK-5","Closure"
"2019-2020","721","1065","SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED","721","1065","PK-5","Closure"
"2019-2020","721","0184","SCHOOL_SPECIAL_CASE_MOVE_STUDENTS","721","1156","6,7,8","Reconfiguration"
